차종별,용도별,항목,단위,2011. 01 월,2011. 02 월,2011. 03 월,2011. 04 월,2011. 05 월,2011. 06 월,2011. 07 월,2011. 08 월,2011. 09 월,2011. 10 월,2011. 11 월,2011. 12 월,2012. 01 월,2012. 02 월,2012. 03 월,2012. 04 월,2012. 05 월,2012. 06 월,2012. 07 월,2012. 08 월,2012. 09 월,2012. 10 월,2012. 11 월,2012. 12 월,2013. 01 월,2013. 02 월,2013. 03 월,2013. 04 월,2013. 05 월,2013. 06 월,2013. 07 월,2013. 08 월,2013. 09 월,2013. 10 월,2013. 11 월,2013. 12 월,2014. 01 월,2014. 02 월,2014. 03 월,2014. 04 월,2014. 05 월,2014. 06 월,2014. 07 월,2014. 08 월,2014. 09 월,2014. 10 월,2014. 11 월,2014. 12 월,2015. 01 월,2015. 02 월,2015. 03 월,2015. 04 월,2015. 05 월,2015. 06 월,2015. 07 월,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월
합계,합계,자동차등록[대],대,251804,252175,253361,254859,255845,257040,258285,258606,258248,258059,258019,257154,258082,260490,263550,269729,273483,277272,283207,285130,288547,289915,291982,294488,298472,301744,305467,309466,313034,316441,321515,324275,326012,328933,331863,334426,338928,342808,346931,352717,356261,362963,369316,372308,375194,377894,381214,384117,388996,392466,398515,402936,406729,410468,417703,421087,425425,428967,432074,435015,438283,440384,443346,446897,449682,453778,457330,458797,460308,461876,464607,467243,469392,470813,474889,477979,479704,482865,486688,489674,493255,495262,497989,532838,504384,507722,512190,516779,521427,526584,532838,537170,541692,545390,550014,553578
합계,관용,자동차등록[대],대,1461,1448,1441,1460,1471,1470,1482,1481,1469,1471,1475,1523,1526,1525,1520,1536,1552,1555,1543,1644,1645,1641,1642,1643,1636,1637,1647,1661,1679,1695,1718,1726,1727,1715,1721,1708,1715,1719,1716,1719,1748,1740,1745,1749,1759,1772,1759,1752,1751,1740,1751,1757,1767,1800,1806,1813,1819,1826,1833,1845,1847,1852,1863,1877,1891,1909,1951,1943,1947,1949,1943,1973,1969,1973,2058,2103,2132,2119,2111,2114,2137,2144,2147,2265,2124,2136,2155,2160,2171,2242,2265,2253,2255,2272,2286,2270
합계,자가용,자동차등록[대],대,226592,227082,228059,228838,229342,229949,230224,230454,230842,231222,231526,230926,231622,233996,237011,239751,242950,246571,249560,251432,254010,256466,258948,260923,263879,266060,268776,271429,273636,275668,277977,279704,281047,282904,284604,285863,288607,290858,293115,295388,297150,298883,302141,303934,305520,307421,309552,310997,314244,316086,318775,320969,322780,324899,326622,328625,331637,334301,336837,338719,340354,341416,343002,344537,345887,347694,348802,349595,350600,351651,353167,354642,355700,356013,356467,356999,357443,357828,358438,359479,360586,361452,362524,366573,363943,364605,365128,364960,365188,365936,366573,366849,367467,367740,368404,368527
합계,영업용,자동차등록[대],대,23751,23645,23861,24561,25032,25621,26579,26671,25937,25366,25018,24705,24934,24969,25019,28442,28981,29146,32104,32054,32892,31808,31392,31922,32957,34047,35044,36376,37719,39078,41820,42845,43238,44314,45538,46855,48606,50231,52100,55610,57363,62340,65430,66625,67915,68701,69903,71368,73001,74640,77989,80210,82182,83769,89275,90649,91969,92840,93404,94451,96082,97116,98481,100483,101904,104175,106577,107259,107761,108276,109497,110628,111723,112827,116364,118877,120129,122918,126139,128081,130532,131666,133318,164000,138317,140981,144907,149659,154068,158406,164000,168068,171970,175378,179324,182781
승용차,합계,자동차등록[대],대,169216,169627,170641,171964,172793,173940,175230,175715,175552,175535,175554,174941,175875,178228,181185,186961,190542,194259,200029,201996,205412,206671,208491,210802,214385,217401,220711,224350,227614,230751,235457,238134,239866,242604,245187,247543,251590,255244,259092,264330,267621,274022,279821,282579,285302,287794,290844,293527,297785,300974,306463,310312,313641,316885,323604,326803,330776,334047,336863,339547,342467,344434,346940,349941,352370,355910,359049,360289,361720,363288,365744,368293,370231,371661,375425,378290,379811,382875,386419,389043,392475,394467,397049,431287,403607,406710,411116,415794,420402,425271,431287,435646,440230,443955,448388,451887
승용차,관용,자동차등록[대],대,434,432,432,437,441,443,443,441,438,437,439,484,486,485,486,491,492,492,488,586,590,589,591,590,582,583,584,590,589,603,622,622,623,609,612,599,604,607,605,603,620,617,616,619,621,630,623,616,618,612,617,619,617,641,645,645,642,644,650,652,653,652,656,660,662,658,687,683,684,673,680,694,693,694,748,777,800,797,785,775,779,781,781,824,771,774,776,776,774,805,824,818,820,827,840,829
승용차,자가용,자동차등록[대],대,151827,152348,153202,153963,154407,155039,155457,155856,156319,156790,157124,156770,157511,159844,162803,165405,168489,172041,175016,176920,179505,181791,183972,185744,188367,190353,192718,195167,197240,199128,201264,202884,204232,205901,207282,208340,210715,212806,214879,216827,218448,220016,222930,224554,225983,227696,229561,230895,233592,235221,237564,239398,240886,242616,244129,245964,248667,251039,253189,254877,256221,257131,258380,259552,260603,261984,262775,263378,264249,265216,266422,267787,268629,268953,269219,269585,269850,270203,270665,271589,272645,273470,274423,278169,276011,276501,276936,276942,277155,277688,278169,278408,279133,279353,279833,279904
승용차,영업용,자동차등록[대],대,16955,16847,17007,17564,17945,18458,19330,19418,18795,18308,17991,17687,17878,17899,17896,21065,21561,21726,24525,24490,25317,24291,23928,24468,25436,26465,27409,28593,29785,31020,33571,34628,35011,36094,37293,38604,40271,41831,43608,46900,48553,53389,56275,57406,58698,5968,60660,63016,63575,65141,68282,70295,72138,73628,78830,80194,81467,82364,83024,84018,85593,86651,87904,89729,91105,93268,95587,96228,96787,97399,98642,99812,100909,102014,105458,107928,109161,111875,114969,116679,119051,120216,121845,152294,126825,129435,133404,138076,142473,146778,152294,156420,160277,163775,167715,171154
승합차,합계,자동차등록[대],대,18881,18844,18883,19019,19085,19141,19192,19109,18955,18790,18679,18562,18539,18550,18600,18897,18963,19000,19190,19121,19045,18967,18947,18935,19048,19112,19209,19354,19433,19486,19647,19627,19592,19522,19632,19659,19785,19864,19951,20188,20237,20398,20631,20679,20685,20636,20636,20634,20670,20714,20924,21140,21259,21361,21633,21604,21615,21519,21409,21392,21414,21322,21405,21555,21549,21627,21655,21658,21497,21337,21257,21139,21054,20950,20963,20975,20932,20908,20981,21160,21196,21122,21117,20556,20694,20714,20590,20601,20551,20566,20556,20464,20421,20273,20216,20190
승합차,관용,자동차등록[대],대,314,311,308,311,315,309,313,313,312,311,310,310,311,310,310,312,314,316,311,315,316,313,313,312,312,312,318,313,323,325,326,331,331,332,333,333,334,336,333,332,344,341,344,345,348,350,347,349,347,345,347,347,353,355,359,358,360,359,356,356,358,364,368,368,368,379,383,379,377,385,388,383,383,383,386,390,391,391,394,392,399,394,390,414,387,388,394,393,392,416,414,416,417,419,417,410
승합차,자가용,자동차등록[대],대,14679,14644,14630,14621,14617,14592,14546,14466,14426,14366,14301,14202,14146,14151,14149,14180,14184,14224,14257,14201,14148,14147,14202,14199,14256,14251,14278,14283,14244,14255,14243,14247,14210,14162,14260,14290,14330,14332,14320,14357,14302,14301,14331,14314,14313,14274,14276,14238,14225,14210,14237,14251,14247,14273,14240,14205,14178,14142,14150,14113,14087,14040,14014,14020,13970,13940,13919,13907,13836,13785,13745,13688,13625,13536,13469,13442,13387,13290,13258,13217,13192,13168,13148,12389,12723,12687,12599,12528,12473,12448,12389,12381,12355,12320,12265,12245
승합차,영업용,자동차등록[대],대,3888,3889,3945,4087,4153,4240,4333,4330,4217,4113,4068,4050,4082,4089,4141,4405,4465,4460,4622,4605,4581,4507,4432,4424,4480,4549,4613,4758,4866,4906,5078,5049,5051,5028,5039,5036,5121,5196,5298,5499,5591,5756,5956,6020,6024,6012,6013,6047,6098,6159,6340,6542,6659,6733,7034,7041,7077,7018,6903,6923,6969,6918,7023,7167,7211,7308,7353,7372,7284,7167,7124,7068,7046,7031,7108,7143,7154,7227,7329,7551,7605,7560,7579,7753,7584,7639,7597,7680,7686,7702,7753,7667,7649,7534,7534,7535
화물차,합계,자동차등록[대],대,63157,63151,63282,63325,63411,63396,63301,63216,63172,63162,63212,63066,63075,63111,63165,63265,63362,63387,63361,63381,63448,63629,63883,64094,64375,64565,64878,65090,65309,65524,65729,65829,65867,66117,66345,66523,66847,66998,67173,67481,67678,67812,68119,68300,68449,68697,68962,69177,69755,69985,70330,70673,71008,71378,71617,71825,72170,72529,72924,73181,73500,73720,74089,74470,74825,75292,75662,75880,76112,76255,76595,76781,77062,77149,77427,77623,77857,77970,78154,78328,78428,78505,78656,79755,78904,79122,79292,79192,79269,79525,79755,79805,79783,79900,80137,80217
화물차,관용,자동차등록[대],대,654,648,645,655,658,661,669,670,662,666,667,670,670,671,665,674,686,686,683,682,677,677,675,676,678,678,681,694,703,703,706,708,706,707,707,706,707,706,708,714,714,711,712,712,716,718,715,713,712,710,714,718,724,730,728,735,741,748,754,760,760,760,763,773,785,796,804,805,809,811,797,820,817,820,848,859,863,854,855,869,882,889,896,946,887,895,906,913,927,941,946,939,939,946,949,950
화물차,자가용,자동차등록[대],대,59818,59818,59952,59984,60044,60040,59945,59855,59819,59787,59822,59674,59679,59710,59775,59880,59987,60013,59996,60019,60065,60237,60483,60689,60963,61159,61481,61679,61851,61986,62170,62269,62301,62539,62759,62931,63257,63414,63600,63889,64082,64245,64547,64733,64885,65108,65371,65517,66078,66305,66625,66967,67290,67643,67883,68083,68412,68735,69108,69336,69650,69847,70209,70558,70904,71356,71688,71886,72090,72224,72565,72727,73003,73077,73319,73504,73730,73853,74023,74174,74246,74306,74448,75456,74694,74903,75065,74961,75019,75252,75456,75496,75415,75503,75734,75801
화물차,영업용,자동차등록[대],대,2685,2685,2685,2686,2709,2695,2687,2691,2691,2709,2723,2722,2726,2730,2725,2711,2689,2688,2682,2680,2706,2715,2725,2729,2734,2728,2716,2717,2755,2835,2853,2852,2860,2871,2879,2886,2883,2878,2865,2878,2882,2856,2860,2855,2848,2871,2876,2947,2965,2970,2991,2988,2994,3005,3006,3007,3017,3046,3062,3085,3090,3113,3117,3139,3136,3140,3170,3189,3213,3220,3233,3234,3242,3252,3260,3260,3264,3263,3276,3285,3300,3310,3312,3353,3323,3324,3321,3318,3323,3332,3353,3370,3429,3451,3454,3466
특수차,합계,자동차등록[대],대,550,553,555,551,556,563,562,566,569,572,574,585,593,601,600,606,616,626,627,632,642,648,661,657,664,666,669,672,678,680,682,685,687,690,699,701,706,702,715,718,725,731,745,750,758,767,772,779,786,793,798,811,821,844,849,855,864,872,878,895,902,908,912,931,938,949,964,970,979,996,1011,1030,1045,1053,1074,1091,1104,1112,1134,1143,1156,1168,1167,1240,1179,1176,1192,1192,1205,1222,1240,1255,1258,1262,1273,1284
특수차,관용,자동차등록[대],대,59,57,56,57,57,57,57,57,57,57,59,59,59,59,59,59,60,61,61,61,62,62,63,65,64,64,64,64,64,64,64,65,67,67,69,70,70,70,70,70,70,71,73,73,74,74,74,74,74,73,73,73,73,74,74,75,76,75,73,77,76,76,76,76,76,76,77,76,77,80,78,76,76,76,76,77,78,77,77,78,77,80,80,81,79,79,79,78,78,80,81,80,79,80,80,81
특수차,자가용,자동차등록[대],대,268,272,275,270,274,278,276,277,278,279,279,280,286,291,284,286,290,293,291,292,292,291,291,291,293,297,299,300,301,299,300,304,304,302,303,302,305,306,316,315,318,321,333,333,339,343,344,347,349,350,349,353,357,367,370,373,380,385,390,396,396,398,399,407,410,414,420,424,425,426,435,440,443,447,460,468,476,482,492,499,503,508,505,559,515,514,528,529,541,548,559,564,564,564,572,577
특수차,영업용,자동차등록[대],대,223,224,224,224,225,228,229,232,234,236,236,246,248,251,257,261,266,272,275,279,288,295,307,301,307,305,306,308,313,317,318,316,316,321,327,329,331,326,329,333,337,339,339,344,345,350,354,358,363,370,376,385,391,403,405,407,408,412,415,430,430,434,437,448,452,459,467,470,477,490,498,514,526,530,538,546,550,553,565,566,576,580,582,600,585,583,585,585,586,594,600,611,615,618,621,626
이륜자동차,합계,자동차등록[대],대,18183,18173,18196,18230,18253,18279,18361,18388,18363,18316,18271,18258,18304,18485,18783,19197,19915,23860,25622,25922,26085,26066,26024,26013,26076,26116,26213,26401,26333,26309,26504,26614,26615,26567,26519,26480,26512,26609,26699,27042,27169,27288,27395,27468,27468,27382,27403,27421,27446,27578,27666,27916,28015,28218,28549,28728,28752,28698,28653,28561,28561,28730,28969,29345,29595,29771,29896,29968,29941,29828,29808,29886,29868,29904,30047,30308,30572,30636,30699,30831,30989,30918,30978,31034,30987,31088,31156,31186,31288,31294,31411,31500,31545,31576,31527,31575
이륜자동차,관용,자동차등록[대],대,167,169,169,166,168,169,194,194,193,193,193,195,195,200,212,245,257,279,299,300,300,300,310,310,314,317,318,319,348,347,348,349,355,364,364,366,367,367,367,378,378,365,359,360,361,361,369,365,362,362,364,363,366,372,372,370,371,375,372,380,380,379,385,380,380,380,382,384,384,387,388,391,389,389,398,402,404,394,395,399,409,412,462,489,487,489,491,492,494,494,500,499,502,508,495,503
이륜자동차,자가용,자동차등록[대],대,18016,18004,18027,18064,18085,18110,18167,18194,18170,18123,18078,18063,18109,18285,18571,18952,19658,23581,25323,25622,25785,25766,25714,25703,25762,25799,25895,26082,25985,25962,26156,26265,26260,26203,26155,26114,26145,26242,26332,26664,26791,26923,27036,27108,27107,27021,27034,27056,27084,27216,27302,27553,27649,27846,28177,28358,28381,28323,28281,28181,28181,28351,28584,28965,29215,29391,29514,29584,29557,29441,29420,29495,29479,29515,29649,29906,30168,30242,30304,30432,30580,30506,30516,30545,30500,30599,30665,30694,30794,30800,30911,31001,31043,31068,31032,31072
