충전소명,분류,설치주소,x,y
용곡2차세광엔리치타워,주거시설,충천남도 천안시 동남구 풍세로 769-28,127.13812,36.78089
원성2동사무소,관공서,충청남도 천안시 동남구 고재15길 15,127.16084,36.80142
타워장모텔,숙박시설,충청남도 천안시 동남구 공설시장 1길 18-6,127.14982,36.81027
독립기념관,관광지,충청남도 천안시 동남구 목천읍 남화리 230-1,127.22441,36.78248
연합초원아파트,주거시설,충청남도 천안시 동남구 목천읍 충절로 1095,127.22997,36.77284
문성동 주민센터,관공서,충청남도 천안시 동남구 문화로 15,127.15028,36.81098
순천향대학교 부속 천안병원,의료시설,충청남도 천안시 동남구 봉명동 218-3,127.13472,36.8022
천안시 봉명동사무소,관공서,충청남도 천안시 동남구 봉정로 39,127.13942,36.80577
천안박물관,관광지,충청남도 천안시 동남구 삼룡동 401-17,127.16391,36.7872
향촌현대아파트,주거시설,충청남도 천안시 동남구 서부대로 226-11,127.13014,36.78851
원성1동주민센터,관공서,충청남도 천안시 동남구 성황로 125,127.16302,36.81187
천안휴게소(부산방향),교통시설,충청남도 천안시 동남구 수신면 성남로 793-40,127.26456,36.73018
(주)현보,편의시설,충청남도 천안시 동남구 수신면 수신로 149,127.27289,36.70612
천안상록리조트,숙박시설,충청남도 천안시 동남구 수신면 수신로 576,127.28894,36.74047
천안휴게소(서울방향),교통시설,충청남도 천안시 동남구 쉼1길 42,127.17376,36.78707
용곡마을아이파크,주거시설,충청남도 천안시 동남구 용곡4길 20,127.14501,36.79436
동일하이빌하이시티4단지,주거시설,충청남도 천안시 동남구 용곡5길 34,127.13833,36.79066
용곡더쉴아파트,주거시설,충청남도 천안시 동남구 용곡동 482-16,127.13198,36.78931
kt천안빌딩,기타,충청남도 천안시 동남구 중앙로 174,127.1536,36.8138
신부동청광플러스원아파트,주거시설,충청남도 천안시 동남구 중앙로 265-31,127.14984,36.82238
웰스빌아파트,주거시설,충청남도 천안시 동남구 천안천공원2길 28,127.14914,36.79497
신방동사무소 앞 공영주차장,교통시설,충청남도 천안시 동남구 천안천변길 129-41,127.12249,36.78587
대일모터스,편의시설,충청남도 천안시 동남구 천안천변길 45,127.11459,36.78191
버들마을청수우미린,주거시설,충청남도 천안시 동남구 청수14로 16,127.14874,36.78361
천안시 청룡동행정복지센터,관공서,충청남도 천안시 동남구 청수로 14로 99,127.15849,36.79735
청수경남아너스빌,주거시설,충청남도 천안시 동남구 청수로 15,127.14943,36.78878
청수극동1차 아파트,주거시설,충청남도 천안시 동남구 청수로 99,127.15559,36.7922
한국전기안전공사 천안아산지사,기타,충청남도 천안시 동남구 충무로 504,127.16132,36.79848
㈜휴먼하우징 아인스파크,주거시설,충청남도 천안시 동남구 통정3로 77,127.13127,36.77794
신방푸르지오아파트(충남),주거시설,충청남도 천안시 동남구 통정9로 51,127.13117,36.77188
용곡1차세광엔리치타워(충남),주거시설,충청남도 천안시 동남구 풍세로801-23,127.14033,36.78008
천안시 성정2동행정복지센터,관공서,충청남도 천안시 서부1길 57,127.13749,36.82386
불당 지웰푸르지오(충남),주거시설,충청남도 천안시 서북구 24로 38,127.10813,36.82162
e편한세상스마일시티2차아파트(충남),주거시설,충청남도 천안시 서북구 3공단 6로 125,127.10836,36.8466
E편한세상1차스마일시티,주거시설,충청남도 천안시 서북구 3공단6로 85-27,127.10266,36.84355
천안시 한화갤러리아백화점(센터시티),편의시설,충청남도 천안시 서북구 공원로 227,127.10472,36.80056
한국기술교육대학교,지역문화시설,충청남도 천안시 서북구 과수원길 18,127.14485,36.84182
e편한세상 두정2차,주거시설,충청남도 천안시 서북구 노태산로 145,127.13039,36.83739
e편한세상두정2차아파트(충남),주거시설,충청남도 천안시 서북구 노태산로 145,127.13039,36.83739
부경파크빌아파트,주거시설,충청남도 천안시 서북구 늘푸른1길 19,127.12848,36.82673
극동늘푸른아파트,주거시설,충청남도 천안시 서북구 늘푸른6길 41,127.1328,36.82946
천안한국지엠서비스센터㈜,편의시설,충청남도 천안시 서북구 두정공단1길 51,127.15578,36.83447
두정역푸르지오아파트,주거시설,충청남도 천안시 서북구 두정역길 48,127.15081,36.8345
호반리젠시빌아파트,주거시설,충청남도 천안시 서북구 백석2길 40,127.12117,36.8204
백석주공그린빌11단지1차,주거시설,충청남도 천안시 서북구 백석3로 69,127.11927,36.82265
천안시청,관공서,충청남도 천안시 서북구 번영로 156,127.11305,36.81613
천안종합운동장 실내테니스장,지역문화시설,충청남도 천안시 서북구 번영로 208,127.11483,36.82078
백석 벽산블루밍1차,주거시설,충청남도 천안시 서북구 번영로 278-12,127.11384,36.82547
브라운스톤천안아파트,주거시설,충청남도 천안시 서북구 번영로 306-15,127.11518,36.82961
천안브라운스톤(충남),주거시설,충청남도 천안시 서북구 번영로 306-15,127.11518,36.82961
파크밸리동일하이빌,주거시설,충청남도 천안시 서북구 봉서산1길 35,127.12117,36.81166
쌍용주공9단지아파트,주거시설,충청남도 천안시 서북구 봉서산샛길 65,127.12097,36.80626
한성3차 필하우스,주거시설,충청남도 천안시 서북구 봉정로 366,127.14704,36.83338
부성1동행정복지센터,관공서,충청남도 천안시 서북구 부대중앙길 51,127.15223,36.84275
불당동한성아파트,주거시설,충청남도 천안시 서북구 불당11로 68,127.11405,36.80215
불당호반베르디움,주거시설,충청남도 천안시 서북구 불당19로 200,127.10259,36.80806
불당이안아파트,주거시설,충청남도 천안시 서북구 불당23로 13,127.10216,36.82098
천안 이제이파크랜드,편의시설,충청남도 천안시 서북구 불당25로 23,127.10334,36.80388
망향휴게소(부산방향),교통시설,충청남도 천안시 서북구 성거읍 돌다리길 23-37,127.18121,36.85602
천안시 서북구청,관공서,충청남도 천안시 서북구 성거읍 봉주로 75,127.156,36.87871
성정1동사무소,관공서,충청남도 천안시 서북구 성정8길 5,127.14133,36.81793
두정3차푸르지오아파트(충남),주거시설,충청남도 천안시 서북구 성정두정로 142,127.14365,36.8382
남서울대학교,지역문화시설,충청남도 천안시 서북구 성환읍 대학로 91,127.14342,36.91099
성환문화회관,지역문화시설,충청남도 천안시 서북구 성환읍 성진로 15,127.13693,36.91294
블루핸즈 북천안현대서비스1,편의시설,충청남도 천안시 서북구 신당새터 2길 28,127.15818,36.85094
신당코아루,주거시설,충청남도 천안시 서북구 신당새터2길 55,127.1591,36.85291
쌍용2동주민센터,관공서,충청남도 천안시 서북구 쌍용14길 70,127.1235,36.79626
월봉벽산태영아파트,주거시설,충청남도 천안시 서북구 월봉4로 140-16,127.11704,36.79858
서북월봉현대아파트,주거시설,충청남도 천안시 서북구 월봉4로 91,127.11373,36.7962
용암마을아파트,주거시설,충청남도 천안시 서북구 월봉로 131,127.11794,36.80256
롯데마트 천안점,편의시설,충청남도 천안시 서북구 월봉로 95-0,127.11765,36.79977
천안시 카프자동차정비,편의시설,충청남도 천안시 서북구 음봉로 909-17,127.1067,36.82564
입장휴게소(서울방향),교통시설,충청남도 천안시 서북구 입장면 연곡길 407,127.1936,36.94307
성환부영3차 입주자대표회의,주거시설,충청남도 천안시 서북구 천안대로 1853,127.13441,36.9054
두정동이안더센트럴아파트,주거시설,충청남도 천안시 서북구 천안대로 999-7,127.15079,36.82909
나인모터스,편의시설,충청남도 천안시 서북구 천일고1길 37,127.15751,36.85802
법양마더빌아파트(충남),주거시설,충청남도 천안시 서북구 충무로 170-5,127.12725,36.79347
kt쌍용빌딩,기타,충청남도 천안시 서북구 충무로 218,127.13038,36.79684
쌍용역푸르지오,주거시설,충청남도 천안시 서북구 충무로 93,127.11872,36.79196
천안백석마을아이파크아파트,주거시설,충청남도 천안시 서북구 한들3로 100,127.12413,36.83229
천안 백석3차 아이파크,주거시설,충청남도 천안시 서북구 한들3로 36-17,127.12525,36.82702
백석더샵아파트,주거시설,충청남도 천안시 서북구 한들3로 70,127.12569,36.83017
