,pt_month,age,base_year_month,user_cnt,use_cnt,use_amt,pt_year
0,1,10.0,809943513,31826,36065,366399365,8099395
1,1,20.0,3386878683,1427723,1577484,31887393371,33868619
2,1,30.0,3868755971,2097868,2310846,64456989006,38687368
3,1,40.0,4046938454,2570363,2858297,99843357653,40469184
4,1,50.0,4019895020,2116584,2354791,96274162401,40198751
5,1,60.0,3537397229,862773,958468,45130577595,35373797
6,1,70.0,2627677421,256366,284140,14026968852,26276644
7,2,10.0,790562134,31851,35569,384380296,7905543
8,2,20.0,3429079884,1440650,1580264,32558720819,34290459
9,2,30.0,3820350862,1891900,2073770,58209537542,38203130
10,2,40.0,3965044196,2280885,2518963,88197651885,39650049
11,2,50.0,3954548492,1858580,2049430,84224094196,39545093
12,2,60.0,3463753628,755064,832024,39167903543,34637193
13,2,70.0,2511454290,228166,251104,12851970460,25114294
14,3,10.0,774022305,43498,50312,435768192,7740108
15,3,20.0,3441796365,1500713,1673772,31970882021,34417452
16,3,30.0,3898644457,2302078,2543744,69453148512,38985865
17,3,40.0,4003195211,2506249,2800053,93569724998,40031357
18,3,50.0,4019346251,2089402,2334711,92817975151,40192865
19,3,60.0,3616942269,916463,1022606,47028308490,36168885
20,3,70.0,2679157128,275936,307317,14488611227,26791173
21,4,10.0,874927440,62437,73371,629898059,8749101
22,4,20.0,3413555360,1489721,1668514,30994949627,34134877
23,4,30.0,3978588960,2370951,2626865,72430296714,39785101
24,4,40.0,4068592544,2623132,2941612,98180028212,40685119
25,4,50.0,4093017828,2160592,2423467,97073665334,40929367
26,4,60.0,3652463196,964629,1079422,50205426079,36523908
27,4,70.0,2747577060,289791,323289,15265049113,27475226
28,5,10.0,1018222625,85060,96930,898387238,10181974
29,5,20.0,3493882565,1612854,1797920,33699305989,34937960
30,5,30.0,4069409225,2575227,2848408,77686017705,40693084
31,5,40.0,4147511160,2928753,3273674,108821607102,41474084
32,5,50.0,4113814725,2308508,2580005,101489420907,41137128
33,5,60.0,3652688000,1000412,1116492,50766565314,36525975
34,5,70.0,2788953600,302758,336497,15371365671,27888845
35,6,10.0,902980544,53065,61924,538501081,9029537
36,6,20.0,3536695750,1722434,1916410,36223226767,35365906
37,6,30.0,4016164806,2565872,2845253,75819633859,40160454
38,6,40.0,4124118516,2856668,3204686,103077991532,41239959
39,6,50.0,4080543820,2224909,2494929,94305498252,40804225
40,6,60.0,3628691386,955803,1069956,46207486724,36285835
41,6,70.0,2761933416,288985,322374,13871114323,27618513
42,7,10.0,959106664,54044,61499,552956897,9590734
43,7,20.0,3624085706,1966480,2192177,43154861290,36239600
44,7,30.0,4040589954,2657829,2958371,79060544713,40404498
45,7,40.0,4147551464,3035388,3419054,108236798358,41474076
46,7,50.0,4088819427,2328526,2622104,94883148992,40886776
47,7,60.0,3621029001,955208,1074473,43315276295,36209034
48,7,70.0,2701195795,288319,323221,13334690287,27011021
49,8,10.0,983724792,54573,61961,548237354,9836858
50,8,20.0,3708668616,2057424,2288635,44741493690,37085216
51,8,30.0,4120733852,2887925,3210392,85691685589,41205705
52,8,40.0,4283394600,3352297,3766524,120927132198,42832248
53,8,50.0,4156051052,2465335,2769127,100294046406,41558863
54,8,60.0,3660406804,1006502,1129684,46230846458,36602617
55,8,70.0,2735518840,302339,339210,14195009588,27354104
56,9,10.0,945362256,63065,72675,626479004,9453201
57,9,20.0,3572045500,1696253,1899140,35682973191,35718862
58,9,30.0,4075938873,2580336,2861325,76742981764,40757571
59,9,40.0,4167168141,2774826,3110154,99766159298,41669823
60,9,50.0,4106815750,2173411,2437282,92243193976,41066326
61,9,60.0,3634982108,946080,1059556,46934048829,36348200
62,9,70.0,2713723323,286487,319919,14753038009,27136023
63,10,10.0,1069293480,90081,102708,890708729,10692405
64,10,20.0,3549466780,1633739,1829964,33678142478,35492909
65,10,30.0,4090287380,2502797,2777862,74142124690,40900847
66,10,40.0,4205316380,2854148,3197515,103897891983,42051080
67,10,50.0,4165155990,2246501,2516245,97447750252,41649496
68,10,60.0,3673960050,965581,1079482,48587513544,36737780
69,10,70.0,2768839500,289711,323442,14937969688,27687023
70,11,10.0,981914615,66701,77176,708095730,9818611
71,11,20.0,3464725548,1531833,1721629,32537073596,34645367
72,11,30.0,3945814772,2225790,2481470,65981792507,39455997
73,11,40.0,4099602054,2605456,2935226,96346008389,40993786
74,11,50.0,4086486739,2136116,2406708,96069217939,40862640
75,11,60.0,3659856285,919736,1034828,48204016052,36596568
76,11,70.0,2735961427,280989,316380,15309893736,27358123
77,12,10.0,1032206368,62284,70848,732640524,10321450
78,12,20.0,3512169836,1627009,1802745,36197280551,35119610
79,12,30.0,3914557764,2235981,2477226,67820950696,39143250
80,12,40.0,4066107376,2607387,2920858,98614181684,40658656
81,12,50.0,4085683640,2132311,2385642,95888983080,40854407
82,12,60.0,3595490492,886300,994281,46395024017,35952767
83,12,70.0,2652833840,276801,314085,15382652360,26526761
